Date,Actual_NJ_Handle,Synthetic_NJ_Handle,Treatment_Effect
2022-01-01,17028.64575425055,16057.987579771703,970.6581744788455
2022-01-02,16301.369501655914,15880.122950635234,421.2465510206803
2022-01-03,17796.896248836034,15911.34672656603,1885.5495222700047
2022-01-04,16107.294599225055,17292.561180677778,-1185.2665814527227
2022-01-05,16112.289699835705,17009.583052619317,-897.2933527836121
2022-01-06,16694.033535877323,17220.43619940334,-526.4026635260161
2022-01-07,15071.90016866571,16716.704399669485,-1644.8042310037745
2022-01-08,15659.175221058278,16541.3142133162,-882.1389922579219
2022-01-09,15745.612113758436,16966.760580455593,-1221.1484666971573
2022-01-10,17703.237245981505,16178.263019093807,1524.974226887698
2022-01-11,16550.173562066724,17013.998086429834,-463.82452436310996
2022-01-12,16045.515889247972,17135.995437403086,-1090.4795481551137
2022-01-13,15545.229316946788,16369.32493155317,-824.0956146063818
2022-01-14,15999.12024043316,17166.64063456251,-1167.5203941293512
2022-01-15,15998.239499197323,16880.37909333862,-882.1395941412957
2022-01-16,16483.349940031116,16562.445828191474,-79.0958881603583
2022-01-17,17172.854014912115,17621.662300271262,-448.8082853591477
2022-01-18,16666.736260588783,16242.670846606918,424.0654139818653
2022-01-19,15399.094420465795,16759.020887967185,-1359.9264675013892
2022-01-20,17103.51259054737,16987.430112894624,116.08247765274427
2022-01-21,16399.103503877293,16843.150604345014,-444.04710046772016
2022-01-22,15275.1087507535,15916.77950297009,-641.6707522165907
2022-01-23,16114.581543579889,16661.79834159555,-547.216798015661
2022-01-24,16777.871700917283,15762.691925074741,1015.1797758425419
2022-01-25,16761.76127685342,15802.34142900014,959.4198478532799
2022-01-26,15936.20755811778,16595.666952411797,-659.4593942940173
2022-01-27,17344.771549878245,16331.368479326728,1013.4030705515179
2022-01-28,15802.358533702807,17268.828571933995,-1466.4700382311876
2022-01-29,16767.682351991094,16446.495350338893,321.1870016522007
2022-01-30,16099.294897866474,16847.73166606012,-748.4367681936474
2022-01-31,15582.060342175206,16831.58259099185,-1249.5222488166437
2022-02-01,17164.591030456515,15959.724767816075,1204.8662626404403
2022-02-02,16435.092945523204,16502.775012313614,-67.68206679041032
2022-02-03,16792.73136107743,15184.36891048474,1608.3624505926891
2022-02-04,16792.533081296217,15791.073298681808,1001.459782614409
2022-02-05,16464.934829334736,16916.65624123798,-451.7214119032433
2022-02-06,14333.91457813316,16179.07292033355,-1845.1583422003896
2022-02-07,16566.271238681195,16634.04170390582,-67.77046522462479
2022-02-08,16570.158747379133,17069.58909259762,-499.43034521848676
2022-02-09,16313.312732478991,16783.31146315358,-469.99873067458793
2022-02-10,17713.336219710036,15433.326186463612,2280.0100332464244
2022-02-11,15827.697290363469,15392.214170252639,435.48312011083
2022-02-12,17249.435587563952,16097.703317633013,1151.7322699309389
2022-02-13,16057.57543410042,16186.411661024342,-128.83622692392237
2022-02-14,16574.54361789931,16487.555294936625,86.98832296268665
2022-02-15,15915.48134031115,16333.072137259856,-417.59079694870707
2022-02-16,16171.100393723971,16659.789232215786,-488.68883849181475
2022-02-17,16738.698946666023,15734.696253320983,1004.0026933450408
2022-02-18,16498.69861694898,16779.924421709624,-281.2258047606447
2022-02-19,15327.191105373717,16232.658854668884,-905.4677492951669
2022-02-20,16211.836514801897,16661.63812286331,-449.8016080614143
2022-02-21,16361.465217399284,16307.592065838468,53.87315156081604
2022-02-22,18050.064341859237,17278.186973035685,771.8773688235524
2022-02-23,16706.8894329723,16336.60180333308,370.28762963922054
2022-02-24,14912.024617577525,16420.345891571673,-1508.3212739941482
2022-02-25,16544.154730126676,16250.090571763865,294.0641583628112
